fips,state,tsa_region
48011,TX,A
48045,TX,A
48065,TX,A
48075,TX,A
48087,TX,A
48111,TX,A
48117,TX,A
48129,TX,A
48179,TX,A
48191,TX,A
48195,TX,A
48205,TX,A
48211,TX,A
48233,TX,A
48295,TX,A
48341,TX,A
48357,TX,A
48359,TX,A
48369,TX,A
48375,TX,A
48381,TX,A
48393,TX,A
48421,TX,A
48437,TX,A
48483,TX,A
48017,TX,B
48033,TX,B
48069,TX,B
48079,TX,B
48101,TX,B
48107,TX,B
48115,TX,B
48125,TX,B
48153,TX,B
48165,TX,B
48169,TX,B
48189,TX,B
48219,TX,B
48263,TX,B
48269,TX,B
48279,TX,B
48303,TX,B
48305,TX,B
48345,TX,B
48415,TX,B
48445,TX,B
48501,TX,B
48009,TX,C
48023,TX,C
48077,TX,C
48155,TX,C
48197,TX,C
48237,TX,C
48337,TX,C
48485,TX,C
48487,TX,C
48503,TX,C
48049,TX,D
48059,TX,D
48083,TX,D
48093,TX,D
48133,TX,D
48151,TX,D
48207,TX,D
48253,TX,D
48275,TX,D
48335,TX,D
48353,TX,D
48417,TX,D
48429,TX,D
48433,TX,D
48441,TX,D
48447,TX,D
48085,TX,E
48097,TX,E
48113,TX,E
48121,TX,E
48139,TX,E
48143,TX,E
48147,TX,E
48181,TX,E
48221,TX,E
48231,TX,E
48251,TX,E
48257,TX,E
48349,TX,E
48363,TX,E
48367,TX,E
48397,TX,E
48425,TX,E
48439,TX,E
48497,TX,E
48037,TX,F
48067,TX,F
48119,TX,F
48223,TX,F
48277,TX,F
48343,TX,F
48387,TX,F
48449,TX,F
48001,TX,G
48063,TX,G
48073,TX,G
48159,TX,G
48161,TX,G
48183,TX,G
48203,TX,G
48213,TX,G
48225,TX,G
48315,TX,G
48365,TX,G
48379,TX,G
48401,TX,G
48419,TX,G
48423,TX,G
48455,TX,G
48459,TX,G
48467,TX,G
48499,TX,G
48005,TX,H
48347,TX,H
48373,TX,H
48403,TX,H
48405,TX,H
48407,TX,H
48457,TX,H
48109,TX,I
48141,TX,I
48229,TX,I
48003,TX,J
48043,TX,J
48103,TX,J
48135,TX,J
48173,TX,J
48227,TX,J
48243,TX,J
48301,TX,J
48317,TX,J
48329,TX,J
48371,TX,J
48377,TX,J
48389,TX,J
48443,TX,J
48461,TX,J
48475,TX,J
48495,TX,J
48081,TX,K
48095,TX,K
48105,TX,K
48235,TX,K
48267,TX,K
48319,TX,K
48307,TX,K
48327,TX,K
48383,TX,K
48399,TX,K
48413,TX,K
48431,TX,K
48435,TX,K
48451,TX,K
48027,TX,L
48099,TX,L
48145,TX,L
48193,TX,L
48281,TX,L
48331,TX,L
48333,TX,L
48035,TX,M
48217,TX,M
48293,TX,M
48309,TX,M
48041,TX,N
48051,TX,N
48185,TX,N
48289,TX,N
48313,TX,N
48395,TX,N
48477,TX,N
48021,TX,O
48031,TX,O
48053,TX,O
48055,TX,O
48149,TX,O
48209,TX,O
48287,TX,O
48299,TX,O
48411,TX,O
48453,TX,O
48491,TX,O
48013,TX,P
48019,TX,P
48029,TX,P
48091,TX,P
48127,TX,P
48137,TX,P
48163,TX,P
48171,TX,P
48177,TX,P
48187,TX,P
48255,TX,P
48259,TX,P
48265,TX,P
48271,TX,P
48283,TX,P
48323,TX,P
48325,TX,P
48385,TX,P
48463,TX,P
48465,TX,P
48493,TX,P
48507,TX,P
48015,TX,Q
48089,TX,Q
48157,TX,Q
48201,TX,Q
48321,TX,Q
48339,TX,Q
48471,TX,Q
48473,TX,Q
48481,TX,Q
48039,TX,R
48071,TX,R
48167,TX,R
48199,TX,R
48241,TX,R
48245,TX,R
48291,TX,R
48351,TX,R
48361,TX,R
48057,TX,S
48123,TX,S
48175,TX,S
48239,TX,S
48285,TX,S
48469,TX,S
48247,TX,T
48479,TX,T
48505,TX,T
48007,TX,U
48025,TX,U
48047,TX,U
48131,TX,U
48249,TX,U
48261,TX,U
48273,TX,U
48297,TX,U
48311,TX,U
48355,TX,U
48391,TX,U
48409,TX,U
48061,TX,V
48215,TX,V
48427,TX,V
48489,TX,V
